zip,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,bottom_6,bottom_7,bottom_8,bottom_9,bottom_10
10528,10504,11790,10560,13903,10537,13329,12122,14883,11963,10509,12790,12814,12779,12721,12533,13480,12528,12525,12518,12515
10530,11542,11901,11575,11530,11762,10606,11554,10704,10708,11552,10175,10171,10166,14526,11950,11243,10173,10312,11385,11226
10532,11742,10536,11024,10707,10604,11779,11701,12207,11788,11780,10930,12865,12814,12790,12779,12775,12721,12533,10537,12528
10533,11579,10506,10980,11719,11577,10962,11780,12207,11024,10707,10930,13329,12865,12814,12790,12779,12775,10537,12721,12533
10536,11701,10604,10532,11742,11768,11788,10707,11024,10549,10703,10930,10537,12865,12814,12790,12779,12775,12721,12533,12528
10537,13329,13903,10560,12122,14883,10509,11963,10528,10504,10940,14901,10990,10989,10987,10984,10983,10980,10977,10993,10970
10538,10956,10983,12202,11509,10954,11518,11714,11716,11720,14051,10930,13329,12865,12814,12790,12779,12775,10537,12721,12533
10541,11548,14132,14209,13088,12754,11967,12144,14624,13202,12209,12122,10171,12033,10537,12204,12303,10166,11713,12304,12309
10543,10805,11510,10977,11023,10566,11561,10801,11550,11726,11776,10175,10171,10166,11243,14526,11950,10173,10312,10314,10025
10546,12603,11980,12917,12024,13039,14615,14211,12549,13057,14850,12779,12528,12533,10989,12721,12775,11798,12790,12525,12814
10547,14043,12550,12701,13905,12601,11796,11738,10512,11804,14305,10964,11798,10055,11792,11790,10580,11777,10579,10576,11754
10549,11795,11768,14051,11507,11518,11701,10954,11716,10703,11714,10930,13350,10509,13329,12865,12790,12779,12775,12721,12533
10550,10710,11096,11558,10601,11703,11717,11581,11557,11030,11787,10175,10509,14883,13903,11243,10930,13329,12775,10537,10560
10552,11570,11791,11572,11520,11758,11010,11731,11514,10705,10583,10175,10171,10166,14526,11243,11950,10173,13480,10312,11385
10553,11557,11787,10589,10605,11553,11726,11717,10703,11722,11756,10537,10560,11243,10175,12775,13329,10509,12122,10930,13903
10560,13903,10537,13329,12122,14883,11963,10509,10528,10504,10940,14901,12071,10994,10993,10990,10989,10987,10984,12046,10983
10562,11731,11003,11803,11570,11020,10552,11791,10583,11572,11565,10175,10173,10171,14845,12540,14094,11705,11764,12787,10505
10566,11023,10543,10708,11510,10805,10522,10984,11530,11554,11561,10175,10171,10166,11243,11950,14526,10173,10312,10314,10025
10567,10965,10522,10984,11733,10952,11704,11722,11706,11563,10801,14901,11963,11967,11968,11980,12024,12046,12071,12122,12144
10570,11708,14618,10925,14901,10901,14217,14701,10990,14052,12524,10964,10270,10984,10177,11946,10175,11950,10172,10171,12033
10573,10701,11726,10801,10977,11557,10553,11787,11553,11550,11722,10509,10175,12122,12775,10537,13329,10560,10930,13903,14883
10576,11732,10989,11568,12303,11777,10950,11599,10270,10921,10964,14901,12401,12309,12304,12211,12209,12206,12205,12204,12428
10577,11772,11730,11784,10706,11560,11596,14304,11545,11709,11720,10930,13350,13329,12865,12814,12779,10509,12775,12721,12533
10579,10516,10987,11740,11713,11798,13748,11721,13790,11792,10913,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10580,10709,12303,10576,11732,10916,10989,11568,10987,11777,10516,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10583,11572,11598,10705,11042,11710,11746,11566,11010,11722,11758,10175,10171,10166,11243,14526,10173,10312,13480,10314,11950
10589,10605,11756,11553,10595,11722,10553,10703,11598,10520,10954,11243,10930,10509,10175,10560,12122,12775,13329,10537,14883
10590,10994,11724,11729,11778,11783,14208,11757,11725,10510,11767,10930,13329,12865,12814,12790,12779,10560,12775,12721,12533
10591,11558,11566,10583,10804,11572,11042,10710,11743,10520,11010,10175,10171,10166,11243,14526,13480,10173,10312,11950,10314
10594,11556,12553,11755,11740,11713,11798,13748,11721,13790,11792,12533,12309,12304,10993,13329,13350,12204,13480,12122,12033
10595,11720,11509,14304,12202,10956,10983,10538,11560,10954,11714,10930,10175,13329,14883,13903,10509,11243,12775,10560,10537
10598,11801,11776,13905,11576,12601,14043,12550,10590,10512,10994,10560,10175,10509,14883,12122,13903,13329,10930,10537,12775
10601,11576,10805,11561,10550,11776,11510,10710,11550,11563,11704,11243,10560,10930,10175,10537,12122,12775,13329,10509,14883
10603,10543,11510,10805,10566,11023,11576,11776,10977,11575,11554,10175,10171,11243,10166,14526,11950,10173,10312,12775,10930
10604,10536,11701,10532,11742,11768,10707,11024,10549,11788,12207,10930,13329,12865,12814,12790,12779,12775,10537,12721,12533
10605,10589,11756,11553,10595,10703,10553,11722,11518,10954,14051,10537,13329,10175,12775,10509,11243,10560,14883,10930,13903
10606,11763,14225,12590,12206,11804,11542,11901,10512,12601,10704,10537,10930,10509,14883,10175,13903,13329,12775,10560,11243
10701,10573,10801,11726,11557,11550,10977,11787,10553,11553,11746,10560,11243,10930,12122,12775,10537,13329,10175,10509,14883
10702,13053,14228,10924,12771,11741,11766,12205,14127,14450,14206,12304,12204,10177,12122,10175,12033,10172,10171,13329,13350
10703,11507,10549,11768,11701,11795,14051,10536,11518,10604,11716,10930,12122,13329,10175,11243,13903,10509,12775,10560,10537
10704,13601,12721,11946,14616,12508,10993,12518,12033,12401,13350,10175,10171,10166,11243,10173,11950,14526,10174,10279,10312
10705,10583,11746,11572,11598,11722,10553,11010,11553,11710,11758,10175,10171,10166,11243,14526,10173,10312,11950,10314,10025
10706,11784,11772,11730,11596,10577,11545,11709,11560,11755,14304,10930,13329,12865,12814,12790,12779,12775,12721,12533,12528
10707,11024,11742,12207,11780,10532,10536,10604,11779,11719,10506,10930,12865,12814,12790,12779,12775,12721,12533,10537,12528
10708,11023,10566,10543,11552,10805,11530,11561,11514,11746,10705,10175,10171,10166,14526,11243,10173,10312,10314,11950,11385
10709,12303,10576,11732,10989,11568,11777,10950,11599,10270,10921,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10710,11096,11558,10550,11030,10591,11563,11581,11561,10520,11557,10175,10171,10166,11243,14526,11950,10173,10312,13480,12775
10801,11726,10977,11550,11563,11704,11557,11746,11787,11722,10553,10509,10560,10930,14883,13903,10175,11243,13329,12122,10537
10803,10175,10470,10173,10271,10167,10055,11243,10165,11001,10115,14526,11950,13480,12775,10930,14892,10509,10560,13903,10537
10804,11566,11743,10549,11795,14051,11768,11518,11507,10954,11716,12721,12865,13350,12304,11946,12309,12533,12401,13480,12508
10805,11023,11561,11510,10543,11576,11704,10601,10566,11552,10977,10175,10171,10166,11243,14526,10173,11950,10312,10314,10306
10901,14901,10925,14217,14701,10990,14052,11708,12524,10570,12209,10964,10270,10984,10177,11946,10175,11950,10172,10171,12033
10913,11792,10526,10964,13790,11721,13748,11798,11713,11740,10921,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10916,10987,10579,10516,11798,13748,11721,11713,11740,13790,11792,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10917,11754,10507,10580,10709,12303,10576,11732,10989,11568,11777,14901,12518,10505,12515,12508,10509,12428,10512,12401,12309
10920,14726,14020,11715,12189,14305,13039,11968,14218,12024,13614,12779,12528,12533,10989,12721,12775,11798,12790,12525,12814
10921,10270,11599,10964,10526,10950,10913,11792,13790,11721,13748,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10923,13614,14218,11968,12071,14305,14220,13850,12589,11789,12189,12779,12528,12533,10989,12721,12775,11798,12790,12525,12814
10924,14228,11741,13053,10702,11766,12205,14127,14450,14206,12771,10993,12204,12303,12304,10516,12309,12401,12508,10509,10507
10925,14901,10901,11708,14217,14701,10990,10570,14052,14618,12524,10964,10270,10984,10177,11946,10175,11950,10172,10171,12033
10926,13490,13322,14467,14075,11934,10015,12046,12211,12788,11933,12790,12528,12533,10989,12721,12775,12779,11798,12525,12814
10930,12775,10509,14883,12122,13329,10537,11963,13903,10560,10528,14901,12202,12203,11024,12204,12205,12206,12207,12209,12211
10940,11963,10560,13903,10537,13329,12122,14883,10528,10509,10504,10913,10916,10709,10987,10507,11777,11754,10270,11740,11732
10941,13203,11751,14710,14301,14108,13440,12941,12428,12788,12211,12790,12528,12533,10989,12721,12775,12779,11798,12525,12814
10950,11599,10270,10921,10964,11777,10526,10913,11792,13790,11721,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10952,11733,11782,10960,11599,10950,10270,10921,10964,10526,10913,10175,10171,10173,11243,10166,14526,11950,14892,14221,14210
10954,11518,11716,14051,10983,10538,10956,11714,12202,11795,11509,10930,12204,12304,13480,12309,12401,10537,12508,12515,12122
10956,10983,12202,11509,10538,10954,11720,11518,11716,11714,10595,12865,13350,12814,12790,12779,12721,12533,12528,12525,12518
10960,11755,12553,11709,11545,10594,11556,11596,10706,11784,11730,10930,10175,12775,13329,11243,10509,13903,10537,12122,10560
10962,11719,10980,11717,10506,11780,12207,11579,10533,10707,11024,10930,10175,12775,13329,11243,10509,13903,10537,12122,14883
10964,10526,10913,11792,10921,13790,11721,13748,11798,10270,11713,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10965,10567,10522,10984,11733,10952,11704,11722,11706,11782,11563,14901,11963,11967,11968,11980,12024,12046,12071,12122,12144
10970,12533,13601,12401,12033,13350,12518,10993,12508,14616,12204,10989,11798,11599,10964,11792,10950,11790,11721,11732,11740
10977,11726,10801,11550,11557,11787,11704,11563,10553,11746,10543,10537,12122,12775,10560,11243,13329,10175,14883,13903,10509
10980,10506,11719,10533,11579,11780,12207,10962,11577,10707,11024,10930,13350,13329,12865,12814,12790,12775,12721,12533,12528
10983,10956,12202,11509,10538,10954,11518,11720,11716,11714,14051,10930,11243,13329,12865,12814,12790,12779,12775,12721,12533
10984,10522,10567,10965,10566,11510,11704,10801,11563,10543,10977,14901,11963,11967,11968,11980,12024,12046,12071,12122,12144
10987,10916,10579,10516,11713,11740,11798,13748,11721,13790,11792,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10989,11568,11732,11777,10576,10950,11599,10270,10921,10964,10526,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10990,14052,14701,14217,12524,10901,14901,12209,10925,13202,11708,11740,10964,11754,11777,11782,11790,11792,10270,11798,10177
10993,12508,12518,14616,12033,12401,11946,13350,12721,12204,12779,14901,11798,11797,11795,10702,11792,11791,11790,10706,10707
10994,10590,11724,11729,11783,11778,14208,11757,11725,10510,10533,10930,13329,12865,12814,12790,12779,12775,12721,12533,12528
11001,11363,11004,10282,11360,10307,11364,10069,10464,11426,11239,14526,11950,10560,13903,12533,10537,13329,12122,14883,10509
